,ample,tarantula,ochiai,ochiai2,dstar
srnn,21.333333333333332,54.958333333333336,49.125,50.625,43.25
gru,21.458333333333332,55.583333333333336,49.708333333333336,49.666666666666664,43.666666666666664
lstm,21.458333333333332,52.958333333333336,46.583333333333336,45.958333333333336,43.625
