,Tomita3,Tomita4,Tomita7,BP,RTMR,IMDB,MNIST,TOXIC
srnn,70.6,76.46666666666667,53.13333333333333,47.333333333333336,90.66666666666667,86.93333333333334,84.8,89.53333333333333
gru,55.53333333333333,78.26666666666667,54.6,74.2,93.33333333333333,88.8,87.06666666666666,91.46666666666667
lstm,65.8,79.66666666666667,62.86666666666667,51.733333333333334,93.46666666666667,86.33333333333333,87.53333333333333,91.06666666666666
