,ample,tarantula,ochiai,ochiai2,dstar
srnn,53.208333333333336,86.875,77.83333333333333,83.375,73.375
gru,61.416666666666664,84.625,82.08333333333333,83.20833333333333,78.20833333333333
lstm,60.25,88.70833333333333,79.25,88.58333333333333,69.75
