,Tomita3,Tomita4,Tomita7,BP,RTMR,IMDB,MNIST,TOXIC
srnn,28.066666666666666,22.2,14.466666666666667,7.933333333333334,72.8,78.66666666666667,45.93333333333333,80.8
gru,24.866666666666667,19.933333333333334,5.733333333333333,10.4,74.93333333333334,74.26666666666667,61.13333333333333,80.86666666666666
lstm,8.266666666666667,27.266666666666666,12.466666666666667,3.0,69.33333333333333,73.26666666666667,63.46666666666667,79.86666666666666
